step=60 pts=50000 plates=22 total=26.1ms | move=0.3 boundary=1.5 subduction=14.3 collision=6.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.8 resample=0.0
step=62 pts=50000 plates=22 total=24.8ms | move=0.3 boundary=1.4 subduction=13.5 collision=5.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=64 pts=50000 plates=22 total=25.8ms | move=0.3 boundary=1.4 subduction=13.9 collision=6.1 rift=0.0 rift_bnd=0.0 oceanic=0.2 erosion=3.9 resample=0.0
step=66 pts=50000 plates=22 total=25.0ms | move=0.3 boundary=1.2 subduction=12.7 collision=6.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=68 pts=50000 plates=22 total=23.8ms | move=0.3 boundary=1.3 subduction=12.2 collision=5.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=70 pts=50000 plates=22 total=23.5ms | move=0.3 boundary=1.3 subduction=12.0 collision=5.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=72 pts=50000 plates=22 total=22.8ms | move=0.3 boundary=1.2 subduction=11.3 collision=5.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.2 resample=0.0
step=74 pts=50000 plates=22 total=23.0ms | move=0.3 boundary=1.1 subduction=11.4 collision=6.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=76 pts=50000 plates=22 total=23.1ms | move=0.3 boundary=1.2 subduction=10.9 collision=6.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=78 pts=50000 plates=22 total=22.0ms | move=0.3 boundary=1.3 subduction=10.6 collision=5.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
  RESAMPLE: total=1670ms | old_delaunay=682 new_delaunay=692 adjacency=6 flood=10 interp=278
step=80 pts=50000 plates=22 total=1693.0ms | move=0.3 boundary=1.3 subduction=10.4 collision=6.0 rift=0.1 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=1670.8
step=82 pts=50000 plates=22 total=27.6ms | move=0.4 boundary=1.3 subduction=17.2 collision=4.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=84 pts=50000 plates=22 total=28.1ms | move=0.3 boundary=1.1 subduction=17.7 collision=5.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=86 pts=50000 plates=22 total=27.6ms | move=0.3 boundary=1.1 subduction=17.5 collision=4.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=88 pts=50000 plates=22 total=28.0ms | move=0.3 boundary=1.2 subduction=17.9 collision=4.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=90 pts=50000 plates=22 total=27.7ms | move=0.3 boundary=1.2 subduction=17.8 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=92 pts=50000 plates=22 total=28.6ms | move=0.3 boundary=1.2 subduction=17.9 collision=5.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=94 pts=50000 plates=22 total=27.5ms | move=0.3 boundary=1.1 subduction=17.6 collision=4.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=96 pts=50000 plates=22 total=28.4ms | move=0.3 boundary=1.2 subduction=17.2 collision=5.4 rift=0.0 rift_bnd=0.0 oceanic=0.2 erosion=4.0 resample=0.0
step=98 pts=50000 plates=22 total=26.5ms | move=0.3 boundary=1.2 subduction=16.9 collision=4.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=100 pts=50000 plates=22 total=27.0ms | move=0.3 boundary=1.4 subduction=16.9 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
