    plate[21]: 7149 samples, 11276 mesh verts, 21789 tris
    plate[22]: 16358 samples, 21382 mesh verts, 41653 tris
    plate[23]: 8237 samples, 12977 mesh verts, 25017 tris
    plate[24]: 7559 samples, 8698 mesh verts, 16768 tris
    plate[25]: 6820 samples, 10712 mesh verts, 20664 tris
    plate[26]: 13858 samples, 19157 mesh verts, 37390 tris
    plate[27]: 5328 samples, 9693 mesh verts, 18291 tris
    plate[28]: 6509 samples, 12871 mesh verts, 24624 tris
    plate[29]: 7605 samples, 9058 mesh verts, 17164 tris
    plate[30]: 5216 samples, 12563 mesh verts, 23885 tris
    plate[31]: 8656 samples, 10224 mesh verts, 19701 tris
    plate[32]: 10864 samples, 13717 mesh verts, 26313 tris
    plate[33]: 6019 samples, 10765 mesh verts, 20791 tris
    plate[34]: 8936 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7638 samples, 8566 mesh verts, 16470 tris
    plate[36]: 8537 samples, 14130 mesh verts, 27053 tris
    plate[37]: 4680 samples, 8938 mesh verts, 16928 tris
    plate[38]: 8096 samples, 11570 mesh verts, 22384 tris
    plate[39]: 11256 samples, 19370 mesh verts, 37325 tris
  crust: cont=162727 (31.3%) ocean=356783 below_sea=0 elev=[2.000,2.663] avg=2.120 andean=367 himalayan=0
  isolated vertices: cont_in_ocean=367 ocean_in_cont=284
  after assign_samples step=8: assigned=336977/500000 gap=163023 plates=40
    plate[0]: 6926 samples, 9122 mesh verts, 17504 tris
    plate[1]: 7607 samples, 11103 mesh verts, 21400 tris
    plate[2]: 6874 samples, 12169 mesh verts, 23439 tris
    plate[3]: 8066 samples, 11574 mesh verts, 22281 tris
    plate[4]: 6448 samples, 8289 mesh verts, 15963 tris
    plate[5]: 6590 samples, 15418 mesh verts, 29886 tris
    plate[6]: 8824 samples, 11470 mesh verts, 21971 tris
    plate[7]: 7539 samples, 10963 mesh verts, 21250 tris
    plate[8]: 9195 samples, 11300 mesh verts, 21898 tris
    plate[9]: 6896 samples, 14603 mesh verts, 27832 tris
    plate[10]: 15382 samples, 19980 mesh verts, 38610 tris
    plate[11]: 13577 samples, 16923 mesh verts, 32834 tris
    plate[12]: 11756 samples, 19943 mesh verts, 38984 tris
    plate[13]: 7115 samples, 8801 mesh verts, 16997 tris
    plate[14]: 13405 samples, 20901 mesh verts, 40445 tris
    plate[15]: 7986 samples, 15986 mesh verts, 30851 tris
    plate[16]: 6170 samples, 11254 mesh verts, 21809 tris
    plate[17]: 5020 samples, 9052 mesh verts, 17386 tris
    plate[18]: 13579 samples, 17516 mesh verts, 34116 tris
    plate[19]: 9845 samples, 14421 mesh verts, 27880 tris
    plate[20]: 6274 samples, 11383 mesh verts, 21873 tris
    plate[21]: 6744 samples, 11276 mesh verts, 21789 tris
