  new plate[14]: 34478 verts, 64741 tris
  new plate[15]: 15603 verts, 29603 tris
  new plate[16]: 17925 verts, 33149 tris
  new plate[17]: 17053 verts, 33130 tris
  new plate[18]: 37460 verts, 72420 tris
  new plate[19]: 28034 verts, 51292 tris
  cache: 500000/500000 assigned
=== RESAMPLE step=16 t=32 Myr: 500000/500000 assigned, 0 gap, 20 plates ===
  plate[0]: 16911 pts assigned (was 17036 verts, 32938 tris)
  plate[1]: 12300 pts assigned (was 12593 verts, 23835 tris)
  plate[2]: 24049 pts assigned (was 24244 verts, 47316 tris)
  plate[3]: 21255 pts assigned (was 22578 verts, 41835 tris)
  plate[4]: 15939 pts assigned (was 16054 verts, 31173 tris)
  plate[5]: 41736 pts assigned (was 43205 verts, 76842 tris)
  plate[6]: 22027 pts assigned (was 22911 verts, 43521 tris)
  plate[7]: 21040 pts assigned (was 21412 verts, 41702 tris)
  plate[8]: 27995 pts assigned (was 28293 verts, 55111 tris)
  plate[9]: 26078 pts assigned (was 26810 verts, 50698 tris)
  plate[10]: 38939 pts assigned (was 42956 verts, 80103 tris)
  plate[11]: 40775 pts assigned (was 41829 verts, 81984 tris)
  plate[12]: 31721 pts assigned (was 37351 verts, 67407 tris)
  plate[13]: 20518 pts assigned (was 21184 verts, 41196 tris)
  plate[14]: 32405 pts assigned (was 34478 verts, 64741 tris)
  plate[15]: 14299 pts assigned (was 15603 verts, 29603 tris)
  plate[16]: 15912 pts assigned (was 17925 verts, 33149 tris)
  plate[17]: 16546 pts assigned (was 17053 verts, 33130 tris)
  plate[18]: 35386 pts assigned (was 37460 verts, 72420 tris)
  plate[19]: 24169 pts assigned (was 28034 verts, 51292 tris)
  new plate[0]: 17475 verts, 33873 tris
  new plate[1]: 12953 verts, 24703 tris
  new plate[2]: 24643 verts, 48116 tris
  new plate[3]: 22968 verts, 42601 tris
  new plate[4]: 16403 verts, 31889 tris
  new plate[5]: 45392 verts, 84691 tris
  new plate[6]: 23108 verts, 44237 tris
  new plate[7]: 21598 verts, 42108 tris
  new plate[8]: 28731 verts, 56043 tris
  new plate[9]: 27370 verts, 52415 tris
  new plate[10]: 41438 verts, 77421 tris
  new plate[11]: 41583 verts, 81594 tris
  new plate[12]: 34096 verts, 62738 tris
  new plate[13]: 21043 verts, 41016 tris
  new plate[14]: 34095 verts, 64856 tris
  new plate[15]: 15050 verts, 28548 tris
  new plate[16]: 17043 verts, 31666 tris
  new plate[17]: 16980 verts, 33069 tris
  new plate[18]: 36515 verts, 70597 tris
  new plate[19]: 25649 verts, 47815 tris
  cache: 500000/500000 assigned
  after assign_samples step=17: assigned=461634/500000 gap=38366 plates=20
    plate[0]: 16053 samples, 17475 mesh verts, 33873 tris
    plate[1]: 11536 samples, 12953 mesh verts, 24703 tris
    plate[2]: 22491 samples, 24643 mesh verts, 48116 tris
    plate[3]: 18350 samples, 22968 mesh verts, 42601 tris
    plate[4]: 15280 samples, 16403 mesh verts, 31889 tris
    plate[5]: 33790 samples, 45392 mesh verts, 84691 tris
    plate[6]: 21061 samples, 23108 mesh verts, 44237 tris
